Country,Category,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Afghanistan,Biomass,28632215,28024295,26158036,27913628,29248119,30736201,31744592,29890986,30393497,29552400,29093642,28719169,28186912,26829823,24768667,23184611,20913267,21911067,20975247,20246805,19854480,20868970,21501325,22989146,22230100,25480557,27287179,28672424,31807955,25879440,28189421,25233316,33121161,31963921,28058456,32507253,34903416,35900786,31465773,39419576,39442744,38239162,42734862,42179332,42691740,40270391,38728339,36002014,37844199,46417063,46810576,41212249,41195163,41482956,41651611
Afghanistan,Fossil fuels,1774497,1715585,1485075,1351451,1440246,1476076,1516047,1524611,1670326,1673777,1638278,1635845,1695758,1659602,1729668,1778925,1533607,1295721,1211442,1218300,1327973,1080726,2422225,2639132,1768794,2978849,3331953,4116040,4979430,3530987,5736253,7027776,7039725,6285690,6252967,5378124,4971151,4505522,2941025,3970893,4038943,4555851,5419512,5015450,5265490,5654671,4968084,4799444,8798878,10610710,9374928,6991282,6024739,5649841,5370733
Afghanistan,Metal ores,243882,239764,234620,225557,218312,212103,220500,215779,196285,192167,172883,164958,165584,161518,159104,159260,151346,125373,112542,124224,95423,195181,364468,481183,331810,674187,731886,906311,1545885,1053458,1678974,2220641,1510880,2040069,1643622,1823465,1637673,1384894,927769,1022152,1076041,1252183,1844626,1592500,1788933,1829861,1359333,1084935,1281293,1556782,1564798,1307914,1206759,1196770,1196360
Afghanistan,Non-metallic minerals,403144,424929,400788,398854,433416,441319,500882,550591,548291,544281,448072,431017,450075,414261,438452,446660,453483,425987,385312,423255,373449,875157,1200074,1194588,780918,1328884,1379502,1813322,2200111,1676753,3066856,3346949,3449892,4329969,4292070,4266411,4328897,3997756,2518159,2629745,3304449,3537814,4765594,4041284,3674798,4048887,3297750,2878726,4080146,4990987,5227345,4601253,4328770,4278939,4299695
Albania,Biomass,8653525,8577144,8586719,8814553,9003383,9068032,9751227,9953666,10297119,10591969,10359548,10646996,10908012,11389028,11296293,10936029,11235569,11437329,11296401,11981377,11850641,8734393,10011451,9085616,9850782,9986234,9550230,9680937,8557208,9001870,8549819,7307940,9111944,8871988,8636605,9331959,9641691,9518798,10544182,10258452,10379182,10829546,9707816,9969586,9931444,9793010,9692495,9826348,9814843,9540704,10878759,10216497,10318366,10415413,10495630
Albania,Fossil fuels,5526759,5609082,5978979,5762935,5378009,5500321,5634356,5586035,5649398,5945229,4966869,5573207,5637090,5586330,5905955,5929604,5921038,5570531,5654171,5865690,4593814,2667578,5231683,3180354,2493824,1842153,1734243,1763251,1960532,1991469,2461855,2499354,2363560,2710264,3233166,3579166,3544222,4016169,3744046,3858042,3995544,3820075,3356520,3653475,3748441,3816948,3429592,3101688,3554554,3611903,3876886,3554527,3436974,3684320,3729263
Albania,Metal ores,1482606,1477924,2326751,1953916,1861396,1880552,1650272,1576296,1437743,1213097,1189782,1282409,1456626,1619024,1959770,2039660,1994473,1924771,1939359,2000867,2116524,545160,761698,540061,427365,375680,576441,610107,513304,627643,689740,755113,844009,984933,1320977,1467731,1591030,1829224,1810235,1764569,1932884,2182932,1830145,1908895,1928381,1672295,1811817,1840994,1787383,2080208,2279894,2541237,2584758,2755775,2874161
Albania,Non-metallic minerals,4687535,5044587,5133460,6329588,6681980,8200284,10401568,11617233,13097890,10787431,11453927,11735356,10590894,11399931,12022955,12337157,12199500,12642964,12324006,12605442,19374217,5898069,3387759,3103473,4111943,3474745,6120515,6433498,7297945,8483335,9816428,11318263,11128630,14171973,15825542,16073875,14898610,13899556,14885940,16849187,14604909,12856069,11158162,9278875,12065200,11553754,15219032,11827758,10699882,10259392,11739685,10136937,10753723,11573535,12178425
Algeria,Biomass,31425048,29358786,30871169,30110412,33028928,37151228,37467794,36396293,39594121,43897327,47695969,48804393,49012390,48159745,50979453,56594888,55644422,54173956,47365556,50798511,49629601,56532678,47490076,45317051,44414409,41802770,47087447,35994291,43068378,43500841,41017816,45465025,52426260,59716540,68635005,70228054,67753390,67707258,74737862,84057036,79843715,83909537,89657604,98252923,96849323,98654838,97480558,89957551,92212932,90877769,83264460,76760877,78196524,78802690,80451047
Algeria,Fossil fuels,12610814,10714187,14403788,15284094,17578829,17884548,19821999,21610285,23454737,26074732,27011877,24243783,23724342,24772494,28112883,29434463,28366202,26643130,23294213,23008940,28280298,18104670,21767455,22834020,22326450,21612716,22262595,19120972,23556005,20483128,14823684,17014054,20646892,18683357,19150464,18045877,16204804,18459046,21401730,23488626,21691077,21739046,24809842,25124071,27857016,31342452,32682397,30021328,28931479,27683207,26432227,20548200,20831486,21806534,22039233
Algeria,Metal ores,6544965,6707070,7563107,7318028,8539003,8025305,7818479,8006634,7796069,8367198,9504768,9543863,9621273,9646284,10507294,10828772,10419760,9932101,8752944,8005316,8430146,6927161,9567588,9005716,8871839,8438884,7532322,6812643,7952655,8015905,7106488,6521024,7796964,8787270,11509543,13083416,13584694,15979421,21414153,20430803,19908700,22460142,22502363,23700269,24387799,22585837,23298802,20532334,19489656,17804595,15246023,14616468,14902201,15521784,16038228
Algeria,Non-metallic minerals,17155331,17629289,20062085,22858267,27996722,29590668,34578511,37785948,42990349,46154770,49713576,51787950,63095217,72333240,82943224,85041420,108084578,105783228,96114911,97254840,90721705,81911229,81581092,86196446,84958425,88626093,78915153,73543761,77758647,82490439,87188461,90880178,105348788,118762564,122268428,131108303,146541097,170631614,214311515,218637151,210534240,209134809,208245601,197226268,205455401,243235121,243799266,256991167,268757388,269835866,259355554,271544633,281224816,285399770,299121301
